StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
712844785	1060.64	1081.29	0	0	1	1156.23	895.79	0	0	1
712853057	1138.72	1022.74	0	0	1	1120.78	943.22	0	0	1
712861418	1122.07	978.14	0	0	1	1097.24	926.75	0	0	1
712869648	1025.95	1037.28	0	0	1	1080.68	953.6	0	0	1
712878035	1081.95	965.49	0	0	1	1101.52	863.54	0	0	1
712886394	1136.26	964.57	0	0	1	1111.27	917.83	0	0	1
712894658	1106.27	1019.52	0	0	1	1157.83	891.9	0	0	1
712903018	1063.71	1085.12	0	0	1	1144.83	965.83	0	0	1
712911410	1155.68	998.95	0	0	1	1136.9	947.89	0	0	1
712919774	1103.68	953.51	0	0	1	1143.35	940.36	0	0	1
712928038	1080.87	903.28	0	0	1	1122.31	952.7	0	0	1
712936392	1078.79	1041.52	0	0	1	1113.43	930.64	0	0	1
712944657	1031.17	1023.11	0	0	1	1115.27	938.6	0	0	1
712953023	1072.4	977.49	0	0	1	1065.82	898.62	0	0	1
712961421	1024.93	948.21	0	0	1	1077.68	898.84	0	0	1
712969642	1038.52	941.28	0	0	1	1087.1	945.28	0	0	1
712978050	1045.47	931.85	0	0	1	1095.57	940.46	0	0	1
712986394	1082.61	865.73	0	0	1	1105.91	902.97	0	0	1
712994677	999.12	1025.52	0	0	1	1106.86	897.23	0	0	1
713003020	1022.62	965.67	0	0	1	1130.96	863.23	0	0	1
713011411	1054.86	1021.77	0	0	1	1114.43	862.29	0	0	1
713019641	1031.75	1021.78	0	0	1	1116.17	880.41	0	0	1
713028072	1066.01	1018.78	0	0	1	1130.19	872.78	0	0	1
713036396	1102.62	961.14	0	0	1	1148.93	914.57	0	0	1
713044684	1096.37	985.19	0	0	1	1169.39	896.13	0	0	1
713053024	1103.28	1021.49	0	0	1	1147.73	903.53	0	0	1
713061421	1100.46	1006.67	0	0	1	1156.19	878.74	0	0	1
713069641	1014.14	984.39	0	0	1	1165.37	915.1	0	0	1
713078036	1034.32	943.89	0	0	1	1152.15	880.37	0	0	1
713086392	1133.81	948.72	0	0	1	1179.72	883.08	0	0	1
713094657	1088.82	988.81	0	0	1	1107.88	876.27	0	0	1
713103031	1095.36	904.98	0	0	1	1083.34	916.96	0	0	1
713111411	1083.75	913.74	0	0	1	1103.19	902.05	0	0	1
713119647	1095.05	920.83	0	0	1	1119.42	902.9	0	0	1
713128034	1071.69	921.02	0	0	1	1116.12	933.59	0	0	1
713136398	1047.23	986.26	0	0	1	1153.84	881.91	0	0	1
713144660	1064.2	1004.16	0	0	1	1140.57	883.13	0	0	1
713153020	1100.14	1051.8	0	0	1	1169.12	905.3	0	0	1
713161423	1135.97	998.08	0	0	1	1155.27	898.03	0	0	1
713169652	1121	962.66	0	0	1	1182.77	900.49	0	0	1
713178038	1124.74	975.46	0	0	1	1149.77	968.64	0	0	1
713186397	1086.37	937.78	0	0	1	1106.98	923.58	0	0	1
713194660	1074.43	895.38	0	0	1	1145.79	883.25	0	0	1
713203017	1064.66	936.59	0	0	1	1158.77	875.3	0	0	1
713211408	1070.03	954.9	0	0	1	1184.67	851.51	0	0	1
713219641	1087.09	976.3	0	0	1	1126.66	855.27	0	0	1
713228067	1138.45	984.41	0	0	1	1115.06	862.57	0	0	1
713236394	1125.36	890.38	0	0	1	1162.28	884.31	0	0	1
713244671	1040.99	941.74	0	0	1	1170.16	952.11	0	0	1
713253021	1125.26	958.41	0	0	1	1135.03	905.98	0	0	1
713261413	1121.72	976.49	0	0	1	1125.26	917.46	0	0	1
713269644	1143.67	981.43	0	0	1	1126.59	918.21	0	0	1
713278042	1137.04	1023.05	0	0	1	1127.41	936.36	0	0	1
713286440	1138.29	946.06	0	0	1	1124.62	904.51	0	0	1
713294670	1140.27	953.93	0	0	1	1112.49	883.66	0	0	1
713303018	1111.33	1017.59	0	0	1	1102.51	918.25	0	0	1
713311415	1092.45	1046.6	0	0	1	1108.49	913.64	0	0	1
713319642	1162.66	1006.83	0	0	1	1153.03	924	0	0	1
713328033	1060.91	1045.07	0	0	1	1117.63	886.41	0	0	1
713336393	1117.29	973.61	0	0	1	1118.08	921.39	0	0	1
713344654	1123.9	974.37	0	0	1	1114.7	885.47	0	0	1
713353031	1082.23	946.16	0	0	1	1095.27	842.37	0	0	1
713361413	1094.27	965.86	0	0	1	1150.29	829.11	0	0	1
713369653	1058.14	994.79	0	0	1	1180.63	819.45	0	0	1
713378036	1157.95	905.59	0	0	1	1168.63	850.39	0	0	1
713386392	1099.47	930.18	0	0	1	1128.25	890.6	0	0	1
713394658	1106.69	972.47	0	0	1	1160.85	924.74	0	0	1
713403017	1064.05	975.63	0	0	1	1136.81	907.38	0	0	1
713411411	1135	938.71	0	0	1	1132.85	899.94	0	0	1
713419653	1101.25	938.05	0	0	1	1137.02	846	0	0	1
713428034	1090.46	1009.46	0	0	1	1182.98	838	0	0	1
713436395	1118.99	961.19	0	0	1	1182.72	896.57	0	0	1
713444657	1123.42	947.53	0	0	1	1140.43	893.67	0	0	1
713453020	1149.46	1031.59	0	0	1	1153.72	880.95	0	0	1
713461410	1134.65	1067.6	0	0	1	1147.05	943.16	0	0	1
713469648	1084.37	1019.62	0	0	1	1131.69	912.31	0	0	1
713478053	1092.63	973.15	0	0	1	1182.14	933.12	0	0	1
713486396	1106.95	949.49	0	0	1	1130.76	914.77	0	0	1
713494664	1105	999.37	0	0	1	1172.81	917.37	0	0	1
713503015	1065.1	1002.67	0	0	1	1120.19	910.64	0	0	1
713511409	1135.38	925.12	0	0	1	1084.7	851.33	0	0	1
713519642	1100.93	937.29	0	0	1	1161.1	836.56	0	0	1
713528035	1101.21	991.14	0	0	1	1134.77	894.62	0	0	1
713536398	1135.38	999.33	0	0	1	1126.8	930.71	0	0	1
713544662	1130.96	968.99	0	0	1	1110.51	956.72	0	0	1
713553021	1113.38	984.75	0	0	1	1147.5	895.99	0	0	1
713561416	1059.32	1009.12	0	0	1	1121.53	926.6	0	0	1
713569646	1141.5	1028.18	0	0	1	1089.95	847.56	0	0	1
713578038	1093.59	1001.99	0	0	1	1148.4	834.18	0	0	1
713586394	1106.79	975.28	0	0	1	1200.57	838.33	0	0	1
713594661	1096.54	967.64	0	0	1	1150.18	891.9	0	0	1
713603035	1095.05	964.27	0	0	1	1162.41	936.43	0	0	1
713611410	1105.03	951.94	0	0	1	1139.62	969.51	0	0	1
713619649	1106	976.74	0	0	1	1132.11	914.65	0	0	1
713628035	1094.35	937.16	0	0	1	1143.92	895.09	0	0	1
713636394	1115.87	975.14	0	0	1	1171.07	905.93	0	0	1
713644660	1133.88	929.53	0	0	1	1140.42	893.32	0	0	1
713653020	1087.55	939.23	0	0	1	1166.54	937.88	0	0	1
713661414	1028.53	940.88	0	0	1	1168.75	942.04	0	0	1
713669650	1029.69	895.41	0	0	1	1165.02	922.45	0	0	1
713678043	1090.54	945.1	0	0	1	1147.41	923.14	0	0	1
713686395	1082.31	945.92	0	0	1	1137.98	902.34	0	0	1
713694667	1081.39	940.14	0	0	1	1136.45	887.8	0	0	1
713703019	1108.98	970.83	0	0	1	1136.19	893.29	0	0	1
713711422	1101	941.57	0	0	1	1168.37	890.53	0	0	1
713719642	1157.17	977.08	0	0	1	1150.44	922.37	0	0	1
