StaticBinocular
time	left_x	left_y	left_w	left_h	left_valid	right_x	right_y	right_w	right_h	right_valid
811288416	1099.37	415.068	25.0952	25.0952	1	1112.17	412.852	28.1685	28.1685	1
811288450	1121.89	419.315	25.0945	25.0945	1	1132.13	423.269	28.3469	28.3469	1
811288483	1125.03	399.901	25.7298	25.7298	1	1121.82	408.836	28.3124	28.3124	1
811288516	1090.52	410.583	25.2929	25.2929	1	1120.36	421.651	28.5135	28.5135	1
811288549	1102.2	428.565	25.5918	25.5918	1	1120.01	417.471	28.8412	28.8412	1
811288583	1102.6	409.016	25.7539	25.7539	1	1125.14	399.572	28.3132	28.3132	1
811288616	1063.58	423.199	26.1451	26.1451	1	1102.78	408.247	28.9059	28.9059	1
811288649	1128.77	405.914	26.3436	26.3436	1	1106.53	410.802	29.0425	29.0425	1
811288683	1107.18	417.164	26.1949	26.1949	1	1103.86	418.921	28.8603	28.8603	1
811288716	1115.02	415.772	26.0755	26.0755	1	1121.17	406.3	29.1266	29.1266	1
811288749	1074.23	415.782	26.4659	26.4659	1	1123.96	416.029	29.2389	29.2389	1
811288783	1091.26	394.092	26.0605	26.0605	1	1115.6	407.336	29.0973	29.0973	1
811288816	1096.85	412.155	26.7757	26.7757	1	1111.31	431.105	30.0285	30.0285	1
811288849	1096.73	403.127	26.3938	26.3938	1	1083.01	418.601	29.3416	29.3416	1
811288883	1103.19	421.171	27.0337	27.0337	1	1102.13	407.824	29.6105	29.6105	1
811288916	1015.06	393.447	26.993	26.993	1	1039.66	395.612	29.1903	29.1903	1
811288949	1016.28	387.665	26.5862	26.5862	1	1060.37	416.387	29.8445	29.8445	1
811288982	1021.21	399.113	26.894	26.894	1	1051.51	401.957	29.2835	29.2835	1
811289016	997.586	405.414	26.8668	26.8668	1	1045.01	404.521	29.7641	29.7641	1
811289049	1008.82	403.246	26.8307	26.8307	1	1051.52	414.617	29.3586	29.3586	1
811289082	1020.02	397.211	26.1259	26.1259	1	1046.5	408.412	29.2312	29.2312	1
811289116	797.925	316.979	27.1101	27.1101	1	888.476	318.037	29.6573	29.6573	1
811289149	713.351	218.554	27.3924	27.3924	1	723.574	235.691	29.5497	29.5497	1
811289182	722.066	225.996	27.497	27.497	1	708.906	248.886	29.0308	29.0308	1
811289216	704.818	216.23	27.2701	27.2701	0	0	0	28.9006	28.9006	0
811289249	718.255	223.52	27.2969	27.2969	1	724.37	243.838	30.3188	30.3188	1
811289282	736.263	224.241	27.4665	27.4665	1	712.313	231.633	30.3514	30.3514	1
811289315	722.373	212.359	27.7075	27.7075	1	735.752	245.954	30.2989	30.2989	1
811289349	719.347	221.733	27.6496	27.6496	1	701.886	240.295	30.2591	30.2591	1
811289382	729.74	216.572	27.5267	27.5267	1	753.647	245.049	30.1974	30.1974	1
811289415	734.96	234.082	27.1603	27.1603	1	743.57	255.319	29.7296	29.7296	1
811289449	705.534	235.042	26.6273	26.6273	1	713.775	244.863	29.5389	29.5389	1
811289482	723.556	229.963	26.9244	26.9244	1	722.103	249.409	29.6908	29.6908	1
811289515	721.788	232.989	27.3238	27.3238	1	728.627	251.02	29.2861	29.2861	1
811289549	738.56	210.411	26.6717	26.6717	0	0	0	29.5323	29.5323	0
811289582	726.303	229.884	27.0777	27.0777	1	733.216	263.488	29.4689	29.4689	1
811289615	698.716	238.589	27.0848	27.0848	1	746.434	250.015	29.5195	29.5195	1
811289648	706.72	239.902	26.9409	26.9409	1	733.196	243.249	29.6564	29.6564	1
811289682	697.588	229.625	27.4876	27.4876	1	731.447	253.238	29.7448	29.7448	1
811289715	723.255	228.81	27.4855	27.4855	1	723.958	250.547	29.5084	29.5084	1
811289748	692.929	235.741	27.3582	27.3582	1	707.017	252.482	29.4281	29.4281	1
811289782	735.406	232.254	27.3933	27.3933	1	735.556	259.692	29.652	29.652	1
811289815	727.055	217.341	27.4208	27.4208	1	745.226	259.033	29.8592	29.8592	1
811289848	692.61	236.419	27.5554	27.5554	1	744.314	253.075	30.3142	30.3142	1
811289882	688.811	237.619	27.7526	27.7526	1	699.737	240.625	29.5893	29.5893	1
811289915	746.775	212.408	27.3929	27.3929	1	736.773	259.846	30.3966	30.3966	1
811289948	735.441	224.633	27.5029	27.5029	1	695.56	246.195	29.878	29.878	1
811289982	700.04	228.62	27.5701	27.5701	1	725.004	248.007	29.8821	29.8821	1
811290015	729.092	232.802	27.66	27.66	1	716.799	253.485	30.0078	30.0078	1
811290048	702.116	226.161	27.6727	27.6727	1	737.9	244.449	30.1473	30.1473	1
811290082	743.708	220.442	27.7708	27.7708	1	712.601	243.837	30.3853	30.3853	1
811290115	741.651	221.794	27.7511	27.7511	1	738.114	249.754	30.4215	30.4215	1
811290148	732.581	217.112	27.5391	27.5391	1	749.48	253.632	29.8614	29.8614	1
811290181	707.12	230.654	27.5698	27.5698	1	716.428	237.656	30.275	30.275	1
811290215	709.725	227.379	27.7614	27.7614	1	747.129	236.288	30.1446	30.1446	1
811290248	529.657	251.036	27.8511	27.8511	1	566.215	228.645	29.9332	29.9332	1
811290281	417.424	225.751	27.7227	27.7227	1	433.863	212.713	29.4534	29.4534	1
811290315	410.662	226.662	27.0672	27.0672	1	435.073	211.204	28.8278	28.8278	1
811290348	426.729	221.971	27.4181	27.4181	1	436.79	200.934	28.8331	28.8331	1
811290381	423.33	226.263	27.1527	27.1527	1	442.36	210.053	29.2379	29.2379	1
811290415	416.372	234.22	27.0044	27.0044	1	424.392	196.679	29.0604	29.0604	1
811290448	418.541	231.634	27.0377	27.0377	1	440.461	199.016	29.0746	29.0746	1
811290481	404.382	248.982	27.0662	27.0662	1	446.273	219.679	29.6783	29.6783	1
811290514	461.833	238.529	27.2045	27.2045	1	448.885	219.215	29.1982	29.1982	1
811290548	458.671	233.717	27.5864	27.5864	1	453.806	216.803	29.2879	29.2879	1
811290581	469.474	232.29	27.4786	27.4786	1	441.796	223.893	29.7661	29.7661	1
811290614	445.19	234.438	27.6961	27.6961	1	451.497	230.811	29.4498	29.4498	1
811290648	451.503	237.76	27.5333	27.5333	1	464.787	214.216	29.3856	29.3856	1
811290681	454.276	210.906	27.2077	27.2077	0	0	0	29.3533	29.3533	0
811290714	454.512	252.979	27.2043	27.2043	1	457.672	220.721	28.7366	28.7366	1
811290747	449.364	253.621	27.123	27.123	1	462.71	210.444	28.8885	28.8885	1
811290781	428.882	249.128	26.89	26.89	1	470.308	221.733	28.7104	28.7104	1
811290814	464.031	231.344	26.6513	26.6513	1	463.786	219.016	28.4914	28.4914	1
811290847	450.025	229.901	26.5802	26.5802	1	469.962	225.691	28.2089	28.2089	1
811290881	425.322	230.143	26.401	26.401	1	441.344	220.634	28.5702	28.5702	1
811290914	455.404	239.033	26.2933	26.2933	1	419.332	212.743	28.0254	28.0254	1
811290947	428.423	239.628	26.4582	26.4582	1	457.77	203.811	27.9489	27.9489	1
811290981	449.01	241.09	25.6931	25.6931	1	456.098	208.709	27.7715	27.7715	1
811291014	477.303	232.703	26.4282	26.4282	1	484.159	215.318	28.0367	28.0367	1
811291047	443.376	242.193	26.3065	26.3065	1	476.104	225.443	28.4373	28.4373	1
811291081	478.409	231.714	25.997	25.997	1	476.159	220.857	28.0289	28.0289	1
811291114	475.281	239.237	25.9534	25.9534	1	468.22	222.441	28.1417	28.1417	1
811291147	435.624	237.787	26.3066	26.3066	1	484.014	230.426	28.4504	28.4504	1
811291181	414.83	226.078	26.692	26.692	1	441.056	185.384	28.0213	28.0213	1
811291214	0	0	25.8191	25.8191	0	315.644	139.465	27.0966	27.0966	0
811291247	271.81	183.601	26.6374	26.6374	1	299.157	166.372	28.8468	28.8468	1
811291280	0	0	26.6765	26.6765	0	330.17	131.39	29.098	29.098	0
811291314	284.103	185.381	26.5815	26.5815	1	304.597	167.725	29.106	29.106	1
811291347	299.718	182.514	26.3197	26.3197	0	0	0	29.1076	29.1076	0
811291380	285.492	185.592	26.745	26.745	1	301.226	157.136	29.107	29.107	1
811291414	0	0	26.6234	26.6234	0	321.993	139.073	29.205	29.205	0
811291447	282.679	193.103	26.4768	26.4768	1	305.491	145.941	29.3209	29.3209	1
811291480	248.094	200.241	26.7026	26.7026	1	328.174	165.568	29.2654	29.2654	1
811291514	282.919	209.122	26.7154	26.7154	1	326.244	164.203	29.1812	29.1812	1
811291547	0	0	26.7083	26.7083	0	290.365	147.086	29.6733	29.6733	0
811291580	274.574	200.074	26.8825	26.8825	1	307.063	160.204	29.4011	29.4011	1
811291613	0	0	27.0705	27.0705	0	329.305	151.851	29.4116	29.4116	0
811291647	287.657	180.326	27.1194	27.1194	1	308.599	160.431	29.2524	29.2524	1
